Conjunto,Clase,Ruta
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-45.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-4.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-40.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-2.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-38.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-19.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-46.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-22.jpeg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-23.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-12.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-8.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-13.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-25.png
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-42.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-20.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-6.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-44.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-28.jpeg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-35.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-47.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-33.png
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-5.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-9.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-41.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-37.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-39.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-48.png
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-27.png
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-1.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-36.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-32.jpg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-29.jpeg
train_final,Bacterial,./data/covid-chest-xray\Bacterial\Bacterial-24.jpg
train_final,Bacterial,./data/data_augmentation\Bacterial\augmentated-Bacterial-0.jpg
train_final,Bacterial,./data/data_augmentation\Bacterial\augmentated-Bacterial-1.jpg
train_final,Bacterial,./data/data_augmentation\Bacterial\augmentated-Bacterial-10.jpg
train_final,Bacterial,./data/data_augmentation\Bacterial\augmentated-Bacterial-100.jpg
train_final,Bacterial,./data/data_augmentation\Bacterial\augmentated-Bacterial-101.jpg
train_final,Bacterial,./data/data_augmentation\Bacterial\augmentated-Bacterial-102.jpg
train_final,Bacterial,./data/data_augmentation\Bacterial\augmentated-Bacterial-103.jpg
train_final,Bacterial,./data/data_augmentation\Bacterial\augmentated-Bacterial-104.jpg
train_final,Bacterial,./data/data_augmentation\Bacterial\augmentated-Bacterial-105.jpg
train_final,Bacterial,./data/data_augmentation\Bacterial\augmentated-Bacterial-106.jpg
train_final,Bacterial,./data/data_augmentation\Bacterial\augmentated-Bacterial-107.jpg
